region,past_b,pres_b,fut_b,min_past,max_past,min_pres,max_pres,min_fut,max_fut
"MM",.5094143,.2910536,.1995322,.4308721,.5879565,.1987784,.3833287,.1155968,.2834675
"MN",.5401539,.1950249,.2648212,.48494,.5953678,.1319837,.2580662,.2073254,.322317
"MO",.4200874,.229945,.3499676,.3875995,.4525754,.1926607,.2672293,.3170737,.3828614
"MR",.4916067,.2305439,.2778493,.4334001,.5498134,.1634016,.2976862,.217426,.3382727
"MT",.3803318,.2705146,.3491536,.3488016,.411862,.2341217,.3069076,.3174193,.3808879
"MU",.4703555,.2468264,.2828181,.4394892,.5012218,.211081,.2825717,.2508479,.3147883
"MV",.5034765,.1878812,.3086422,.4537538,.5531992,.1311319,.2446306,.2575062,.3597783
"MW",.4577059,.3144308,.2278633,.3855401,.5298716,.2290793,.3997823,.1517117,.304015
"MX",.4231693,.2632163,.3136143,.4051494,.4411893,.2423282,.2841044,.2951934,.3320353
"MY",.3936586,.1760482,.4302931,.3693672,.41795,.1486391,.2034574,.4061233,.454463
"MZ",.3954959,.2816184,.3228857,.3498051,.4411867,.2285551,.3346817,.2764771,.3692942
"NC",.3931552,.2202085,.3866363,.3489752,.4373351,.169835,.270582,.3424074,.4308653
"NE",.3528369,.3663153,.2808478,.2667845,.4388894,.2641235,.4685071,.1930841,.3686115
"NG",.4020441,.269527,.3284289,.3721112,.4319771,.2348618,.3041922,.2980386,.3588191
"NI",.518642,.1705654,.3107926,.4873192,.5499648,.1349599,.2061708,.2786076,.3429777
"NL",.3109454,.3363144,.3527402,.2899,.3319907,.3118689,.3607599,.3319166,.3735639
"NO",.3111968,.2725472,.416256,.2862308,.3361628,.2441746,.3009198,.3918288,.4406831
"NP",.5127615,.3089885,.1782501,.4575131,.5680099,.2436865,.3742904,.1186748,.2378253
"NZ",.3805561,.2589543,.3604896,.3586184,.4024937,.233722,.2841867,.3384643,.3825149
"OM",.4601818,.1764034,.3634148,.4243105,.4960531,.135617,.2171897,.3270657,.399764
"PA",.422327,.2038573,.3738157,.3960795,.4485745,.1739291,.2337856,.3473665,.4002649
"PE",.4717361,.2197585,.3085055,.4509844,.4924878,.1959036,.2436133,.2871763,.3298347
"PF",.3823441,.215991,.4016649,.3424981,.4221901,.1706938,.2612883,.3619472,.4413825
"PG",.3767729,.330719,.2925081,.2868392,.4667065,.2248356,.4366024,.2006669,.3843493
"PH",.5100352,.2287019,.2612629,.4894818,.5305886,.2050057,.2523981,.2398085,.2827173
"PK",.4685017,.3442897,.1872087,.4392917,.4977117,.3093413,.379238,.155853,.2185643
