date,hits,keyword
2008-12-02,3.8870893105044,2015
2008-12-03,4.37297547431745,2015
2008-12-04,4.3035631652013,2015
2008-12-05,4.3035631652013,2015
2008-12-06,3.3317908375752,2015
2008-12-07,3.6094400740398,2015
2008-12-08,5.76122165664044,2015
2008-12-09,4.8588616381305,2015
2008-12-10,4.0259139287367,2015
2008-12-11,4.37297547431745,2015
2008-12-12,3.0541416011106,2015
2008-12-13,3.0541416011106,2015
2008-12-14,3.40120314669135,2015
2008-12-15,4.92827394724665,2015
2008-12-16,4.37297547431745,2015
2008-12-17,4.51180009254975,2015
2008-12-18,3.6094400740398,2015
2008-12-19,3.8870893105044,2015
2008-12-20,2.42943081906525,2015
2008-12-21,2.84590467376215,2015
2008-12-22,3.54002776492365,2015
2008-12-23,4.4423877834336,2015
2008-12-24,2.776492364646,2015
2008-12-25,4.9976862563628,2015
2008-12-26,3.7482646922721,2015
2008-12-27,6.38593243868579,2015
2008-12-28,3.67885238315595,2015
2008-12-29,1.31883387320685,2015
2008-12-30,2.98472929199445,2015
2008-12-31,3.0541416011106,2015
2009-01-01,4.3035631652013,2015
2009-01-02,3.6094400740398,2015
2009-01-03,2.42943081906525,2015
2009-01-04,3.26237852845905,2015
2009-01-05,4.164738546969,2015
2009-01-06,3.7482646922721,2015
2009-01-07,2.776492364646,2015
2009-01-08,5.62239703840815,2015
2009-01-09,4.65062471078205,2015
2009-01-10,4.78944932901435,2015
2009-01-11,3.95650161962055,2015
2009-01-12,4.09532623785285,2015
2009-01-13,4.8588616381305,2015
2009-01-14,4.09532623785285,2015
2009-01-15,4.4423877834336,2015
2009-01-16,3.7482646922721,2015
2009-01-17,3.0541416011106,2015
2009-01-18,4.5812124016659,2015
2009-01-19,4.5812124016659,2015
2009-01-20,5.76122165664044,2015
2009-01-21,4.4423877834336,2015
2009-01-22,6.10828320222119,2015
2009-01-23,3.67885238315595,2015
2009-01-24,1.59648310967145,2015
2009-01-25,3.1929662193429,2015
2009-01-26,4.5812124016659,2015
2009-01-27,4.92827394724665,2015
2009-01-28,4.4423877834336,2015
2009-01-29,4.164738546969,2015
2009-01-30,3.54002776492365,2015
2009-01-31,2.98472929199445,2015
2009-02-01,4.9976862563628,2015
2009-02-02,4.164738546969,2015
2009-02-03,5.6918093475243,2015
2009-02-04,4.65062471078205,2015
2009-02-05,4.09532623785285,2015
2009-02-06,4.9976862563628,2015
2009-02-07,3.12355391022675,2015
2009-02-08,4.09532623785285,2015
2009-02-09,5.2753354928274,2015
2009-02-10,3.7482646922721,2015
2009-02-11,5.2753354928274,2015
2009-02-12,6.03887089310504,2015
2009-02-13,3.12355391022675,2015
2009-02-14,3.95650161962055,2015
2009-02-15,5.83063396575659,2015
2009-02-16,5.6918093475243,2015
2009-02-17,4.5812124016659,2015
2009-02-18,6.03887089310504,2015
2009-02-19,5.34474780194354,2015
2009-02-20,5.20592318371125,2015
2009-02-21,3.54002776492365,2015
2009-02-22,6.38593243868579,2015
2009-02-23,5.96945858398889,2015
2009-02-24,4.51180009254975,2015
2009-02-25,4.8588616381305,2015
2009-02-26,5.48357242017585,2015
2009-02-27,4.8588616381305,2015
2009-02-28,3.26237852845905,2015
2009-03-01,5.20592318371125,2015
2009-03-02,4.8588616381305,2015
2009-03-03,3.3317908375752,2015
2009-03-04,5.55298472929199,2015
